mention_id,customer_id,platform,post_text,likes,shares,timestamp,hashtags
1,,LinkedIn,"Type describe matter strategy. When now summer tell trial.
Maintain child upon front imagine. Serve decade point thus. Smile meet determine man figure should become.",153,17,2025-07-31 02:54:13,"#what,#personal,#artist,#rise"
2,1562.0,Instagram,"Mind kind let ball. Wonder plant action matter clear. Send off drug create population.
Pm structure its million six many cut. Gas physical today add still whether help.",273,73,2025-10-08 18:49:19,#television
3,,Instagram,"Relationship specific air become energy. Campaign strong other those style network.
System care rock again tree popular. Part involve only since write bar.
Amount point already agent. Child reason plant store enough ready create that.",271,12,2025-07-04 13:23:31,"#whom,#individual,#training,#class"
4,,LinkedIn,"Usually focus art general. Design ok each serious especially old. Natural near sing child pull music.
Ever court more senior wonder west. About building figure talk today end.
Away election head spring. Public respond stop movement.",844,8,2025-10-16 10:03:17,#share
5,4986.0,Facebook,"About growth evidence participant green. Trip seven political man hope fly smile.
Your best dinner real air. Provide major none instead whose way technology plan.
Exactly must enough job century. Network while manager American. Item her would natural low professor.",263,99,2025-07-28 16:16:17,"#ready,#those,#leave,#use"
6,863.0,Instagram,"Billion number somebody eight. Receive air some he. Mean anything edge service grow.
Determine southern against watch someone performance past forget.
Analysis might alone up. Eat force stuff sign teach choose. Just evening over.",372,78,2025-09-21 03:39:29,"#scientist,#generation,#among,#factor"
7,,Instagram,"Executive better respond anything amount remember bring. Politics nice shoulder rich.
Election wall thought station she. New idea home recently. Push rock student couple quite however try.",865,32,2025-10-18 09:58:14,"#financial,#now"
8,1737.0,Facebook,"Think growth administration image political majority owner. Group black design Democrat relationship.
Himself majority else rich machine.
Eat should successful hold woman house woman. Again turn full.
Degree commercial year character face leg.",629,71,2025-07-25 10:37:09,"#wrong,#third,#affect,#program"
9,3236.0,Twitter,"Force probably which worry through throughout. Throughout drive responsibility hear foreign high between investment. View what nothing bank ground.
Cultural somebody accept region network. Summer manager both hit.",386,77,2025-07-22 07:45:46,#city
10,,LinkedIn,"Garden anything single full. Information third why glass son cup hospital many. Personal president life magazine act.
Marriage light heavy. Good always and probably girl Mr successful. Picture often film want.",770,45,2025-11-21 15:16:30,"#view,#save,#project,#prepare"
11,,LinkedIn,"Heavy interview anything fear. Start course network reduce remember. Policy those west base financial.
Good short one view couple. Skill guess sport summer democratic.
Yes around establish other. Win weight crime responsibility watch floor. Scene force property buy drop huge.",658,58,2025-10-11 15:27:20,"#begin,#positive,#nearly"
12,3674.0,Facebook,"Recent approach rather build draw. Where forward age thought design win offer. Five natural base operation drug investment.
Close great shoulder right kid far often. Couple language analysis. Serve friend child air concern money yeah.",540,27,2025-07-06 12:21:10,"#identify,#town,#do,#all"
13,1063.0,Instagram,"Degree approach certain lose lead catch. Consider standard into other successful use interesting. Win time fall program grow apply.
Level no large class someone. Section manage great recent. Stage listen very matter meet.",270,56,2025-09-06 02:59:24,"#change,#prove,#six,#water"
14,488.0,LinkedIn,"Baby difficult former near security. Doctor nice sea. Main more leader house sit management.
Next understand machine. Beat give special all. Professor house up local whatever rate north. Evening energy TV dog bit.",949,38,2025-07-04 03:17:08,"#treatment,#majority"
15,,Instagram,"Similar visit computer action process thought. Catch brother produce.
Majority job cut land. Them blood building perhaps.
Important politics fish he. Fill soldier charge process often rest.
Very three appear fine. Sea method positive store evidence.",566,28,2025-12-04 15:44:31,"#about,#may,#possible"
16,610.0,Facebook,"Former during thought reach. Audience task thank understand study paper carry line.
Hour culture task economic read.
Answer everything recognize particular. Skill offer local fire the agency our. Along something feeling economic.",241,79,2025-10-07 06:21:57,"#particular,#well,#have,#short"
17,1033.0,Instagram,"Suffer century clear indeed than me environmental. Born federal make single.
Heavy career show cause. Human enter where science teacher.
Price approach give score. Go line song loss. Teach will player several local identify generation stage.",572,95,2025-11-27 19:24:03,"#American,#interview"
18,2396.0,Twitter,"People financial sea. Wide help seek ground right career area short.
Laugh half carry management kind. Reduce within common system trouble my. Face individual tell night also also realize probably.",746,31,2025-12-20 23:39:30,#right
